team1,team2,toss_winner,toss_choice,man_of_the_match,stadium,place,team1_score,team2_score,winner,win_by_wickets,win_by_runs
SRH,DC,DC,Field,Karun Nair,Shaheed Veer Narayan Singh International Stadium,Raipur,158,161,DC,6,0
KKR,SRH,SRH,Field,Yusuf Pathan,Eden Gardens,Kolkata,171,149,KKR,0,22
DC,RCB,RCB,Field,Virat Kohli,Shaheed Veer Narayan Singh International Stadium,Raipur,138,139,RCB,6,0
SRH,KKR,KKR,Field,Moises Henriques,Feroz Shah Kotla,Delhi,162,140,SRH,0,22
SRH,RCB,SRH,Bat,Ben Cutting,M Chinnaswamy Stadium,Bangalore,208,200,SRH,0,8
MI,KKR,KKR,Field,Morne Morkel,Eden Gardens,Kolkata,168,170,KKR,7,0
CSK,DC,DC,Field,Ashish Nehra,MA Chidambaram Stadium,Chepauk,150,149,CSK,0,1
RR,Punjab,Punjab,Field,James Faulkner,Maharashtra Cricket Association Stadium,Pune,162,136,RR,0,26
CSK,SRH,CSK,Bat,Brendon McCullum,MA Chidambaram Stadium,Chepauk,209,164,CSK,0,45
KKR,RCB,RCB,Field,Chris Gayle,Eden Gardens,Kolkata,177,179,RCB,3,0
DC,RR,RR,Field,Deepak Hooda,Feroz Shah Kotla,Delhi,184,186,RR,3,0
Punjab,MI,MI,Field,George Bailey,Wankhede Stadium,Mumbai,177,159,Punjab,0,18
RCB,SRH,SRH,Field,David Warner,M Chinnaswamy Stadium,Bangalore,166,172,SRH,8,0
MI,RR,MI,Bat,Steven Smith,Sardar Patel Stadium,Motera,164,165,RR,7,0
Punjab,DC,Punjab,Bat,Mayank Agarwal,Maharashtra Cricket Association Stadium,Pune,165,169,DC,5,0
SRH,RR,RR,Field,Ajinkya Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,127,131,RR,6,0
MI,CSK,MI,Bat,Ashish Nehra,Wankhede Stadium,Mumbai,183,189,CSK,6,0
DC,SRH,DC,Bat,Jean-Paul Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,167,163,DC,0,4
