team1,team2,toss_winner,toss_choice,man_of_the_match,stadium,place,team1_score,team2_score,winner,win_by_wickets,win_by_runs
KKR,RCB,RCB,Field,Lakshmipathy Balaji,M Chinnaswamy Stadium,Bangalore,165,123,KKR,0,42
CSK,DC,DC,Field,Morne Morkel,Feroz Shah Kotla,Delhi,110,111,DC,8,0
MI,RR,RR,Field,Kieron Pollard,Wankhede Stadium,Mumbai,197,170,MI,0,27
RCB,CSK,RCB,Bat,Faf du Plessis,MA Chidambaram Stadium,Chepauk,205,208,CSK,5,0
RR,KKR,RR,Bat,Shakib Al Hasan,Eden Gardens,Kolkata,131,137,KKR,5,0
Punjab,KKR,KKR,Field,Sunil Narine,Eden Gardens,Kolkata,134,132,Punjab,0,2
RR,RCB,RR,Bat,Ajinkya Rahane,M Chinnaswamy Stadium,Bangalore,195,136,RR,0,59
MI,DC,DC,Field,Shahbaz Nadeem,Wankhede Stadium,Mumbai,92,93,DC,7,0
SRH,RR,SRH,Bat,Brad Hodge,Sawai Mansingh Stadium,Jaipur,196,197,RR,5,0
Punjab,KKR,Punjab,Bat,Gautam Gambhir,Punjab Cricket Association Stadium,Mohali,124,127,KKR,8,0
SRH,DC,SRH,Bat,Kevin Pietersen,Feroz Shah Kotla,Delhi,157,162,DC,5,0
Punjab,RCB,RCB,Field,Chris Gayle,Punjab Cricket Association Stadium,Mohali,163,166,RCB,5,0
RR,CSK,RR,Bat,Faf du Plessis,MA Chidambaram Stadium,Chepauk,146,147,CSK,7,0
MI,Punjab,MI,Bat,Shaun Marsh,Wankhede Stadium,Mumbai,163,164,Punjab,6,0
SRH,KKR,KKR,Field,Brett Lee,Barabati Stadium,Cuttack,126,127,KKR,5,0
RCB,RR,RR,Field,AB de Villiers,Sawai Mansingh Stadium,Jaipur,189,143,RCB,0,46
